0,62.33333333
0.1,53.66666667
0.2,64.33333333
0.3,81.66666667
0.4,45
0.5,15.33333333
0.6,29
0.7,84.33333333
0.8,154.6666667
0.9,173.3333333
1,180.6666667
1.1,180.6666667
1.2,204
1.3,274
1.4,277.6666667
1.5,286.3333333
1.6,321.3333333
1.7,500.6666667
1.8,780.3333333
1.9,1026
2,973.6666667
2.1,652
2.2,355.3333333
2.3,480
2.4,1100.333333
2.5,2048.333333
2.6,2427.333333
2.7,2020
2.8,1029.333333
2.9,320.3333333
3,655.3333333
3.1,2017.666667
3.2,3335.666667
3.3,3781
3.4,2755.666667
3.5,1221
3.6,228.3333333
3.7,794.6666667
3.8,2486.333333
3.9,4060
4,4275.333333
4.1,2843.333333
4.2,1110
4.3,181
4.4,817
4.5,2486.333333
4.6,3635.666667
4.7,3538.333333
4.8,2202
4.9,766.3333333
5,207
5.1,764.3333333
5.2,1782.333333
5.3,2355.333333
5.4,2088.666667
5.5,1235
5.6,476
5.7,233
5.8,513
5.9,830.6666667
6,966.6666667
6.1,759
6.2,443
6.3,248.3333333
6.4,197.6666667
6.5,224.3333333
6.6,229
6.7,187.6666667
6.8,130.6666667
6.9,127.3333333
7,131
7.1,105.3333333
7.2,72.66666667
7.3,35
7.4,15.66666667
7.5,26
7.6,43.66666667
7.7,39.66666667
7.8,29.33333333
7.9,16.33333333
8,3.333333333
